PN1;(65,65)
PN2;(69,46)
PN3;(56,66)
PN4;(95,94)
PN5;(104,105)
PN6;(120,130)
PN7;(87,84)
PN8;(133,137)
PN9;(75,78)
PN10;(118,117)
PN11;(72,98)
PN12;(62,72)
PN13;(110,128)
PN14;(69,73)
PN15;(86,112)
PN16;(58,63)
PN18;(91,94)
PN19;(81,95)
PN20;(70,97)
PN21;(65,71)
PN22;(72,77)
PN23;(99,97)
PN24;(60,79)
PN25;(141,158)
PN26;(121,138)
PN27;(51,60)
PN28;(59,66)
PN29;(60,64)
PN30;(90,93)
PN31;(86,99)
PN33;(89,103)
PN34;(57,63)
PN35;(66,71)
PN36;(56,74)
PN37;(61,74)
PN38;(75,93)
PN39;(81,74)
PN40;(94,108)
PN41;(87,86)
PN42;(86,114)
PN43;(93,99)
PN44;(71,76)
PN45;(62,64)
PN46;(118,121)
PN47;(59,110)
PN48;(96,98)
PN49;(59,65)
PN50;(67,72)
PN51;(63,70)
PN52;(50,59)
PN53;(109,83)
PN54;(88,95)
PN55;(80,87)
PN56;(51,88)
PN57;(65,62)
PN58;(116,135)
PN59;(55,59)
PN60;(144,166)
PN61;(51,62)
PN62;(70,77)
PN63;(128,126)
PN64;(63,63)
PN65;(105,143)
PN66;(50,51)
PN67;(60,69)
PN68;(58,65)
PN69;(70,79)
PN70;(66,75)
PN71;(89,106)
PN72;(84,99)
PN73;(77,98)
PN74;(87,90)
PN75;(90,101)
PN76;(116,149)
PN77;(91,109)
PN78;(82,87)
PN79;(55,64)
PN80;(117,141)
PN81;(111,155)
PN82;(75,126)
PN83;(64,67)
PN84;(63,71)
PN85;(129,153)
PN86;(59,68)
PN87;(57,85)
PN88;(64,68)
PN89;(66,75)
PN90;(119,142)
PN91;(61,69)
PN92;(62,70)
PN93;(81,106)
PN94;(117,145)
PN95;(51,54)
PN96;(105,148)
PN97;(84,79)
PN98;(55,64)
PN99;(59,68)
PN100;(101,113)
PN101;(85,99)
P102;(83,92)
P103;(98,97)
P104;(89,89)
P105;(100,136)
P107;(73,70)
P108;(70,80)
P109;(79,72)
P110;(74,67)
P111;(63,74)
P112;(71,74)
P113;(31,38)
P114;(39,31)
P115;(68,89)
P116;(60,86)
P117;(77,68)
P118;(42,91)
P119;(59,76)
P120;(66,80)
P122;(72,80)
P123;(100,114)
P124;(32,37)
P125;(80,76)
P126;(77,103)
P127;(28,48)
P128;(71,76)
P129;(29,28)
P130;(48,56)
P131;(46,65)
P132;(55,57)
P133;(44,57)
P134;(60,73)
P137;(63,83)
P138;(61,59)
P139;(68,60)
P140;(69,74)
P141;(78,66)
P142;(43,52)
P143;(82,103)
P145;(65,74)
P146;(33,39)
P147;(71,27)
P148;(60,69)
P149;(73,80)
P150;(86,90)
P151;(57,37)
P152;(58,66)
P153;(82,96)
P154;(77,71)
P155;(75,80)
P157;(84,75)
P158;(45,95)
P159;(62,71)
P160;(68,76)
P161;(77,99)
P162;(64,97)
P163;(78,85)
P164;(123,120)
P165;(70,70)
P166;(45,48)
P167;(89,75)
P169;(76,109)
P170;(76,105)
P171;(61,74)
P172;(70,81)
P173;(74,78)
P174;(131,86)
P175;(77,83)
P176;(75,83)
P177;(79,110)
P178;(75,84)
P179;(64,77)
P180;(64,68)
P181;(45,53)
P182;(90,96)
P183;(75,109)
P184;(57,45)
P185;(17,39)
P186;(69,80)
P187;(56,67)
P188;(74,69)
P189;(75,64)
P190;(58,76)
P191;(35,30)
P192;(83,112)
P193;(35,53)
P194;(38,45)
P195;(78,77)
P196;(109,110)
P197;(69,68)
P198;(72,76)
P199;(32,48)
P200;(97,91)
P201;(75,124)
P202;(72,87)
P203;(77,115)
P204;(85,94)
P205;(70,74)
P206;(75,100)
P207;(46,52)
P208;(30,31)
P209;(82,87)
P211;(52,49)
P212;(61,89)
P213;(30,38)
P214;(73,82)
P216;(60,63)
P217;(62,80)
P218;(64,98)
P220;(77,71)
P221;(69,74)
P222;(83,72)
P223;(65,86)
P224;(80,108)
P225;(72,67)
P226;(66,78)
P227;(62,79)
P228;(62,69)
P229;(82,71)
P230;(46,45)
P231;(61,80)
P232;(82,107)
P233;(88,107)
P234;(86,80)
P235;(72,68)
P236;(66,80)
P237;(68,79)
P238;(83,105)
P239;(99,118)
P241;(26,58)
P242;(70,75)
P243;(64,76)
P244;(121,125)
P245;(59,49)
P246;(70,79)
P248;(60,70)
P249;(80,89)
P250;(30,34)
P251;(42,96)
P253;(35,43)
P254;(69,73)
P255;(47,56)
P257;(72,71)
P258;(61,70)
P259;(53,49)
P260;(39,58)
P261;(37,32)
P262;(73,95)
P263;(58,84)
P264;(56,80)
P265;(82,85)
P266;(109,93)
P267;(70,66)
P268;(72,77)
P269;(78,79)
P270;(64,73)
P271;(40,50)
P272;(57,67)
